track_id,track_name,artists,main_artist,genre,popularity,popularity_level,is_hit,explicit,danceability,energy,valence,acousticness,speechiness,instrumentalness,liveness,tempo,duration_ms,duration_min,music_profile
209ucYTS6vWEV5iydrHiOt,Só Tinha De Ser Com Você,Desconhecido,Desconhecido,Jazz,50,Média,Não hit,False,0.45,0.73,0.3,0.32,0.05,,,95.9,,,Equilibrada
4UQDZlZhGUDoYMohwrY28v,Virtual Insanity - Remastered 2006,Desconhecido,Desconhecido,Jazz,50,Média,Não hit,False,0.61,0.6,0.76,0.01,0.06,,,128.4,,,Positiva
1wrA9K1P177mkPNt9BB2OZ,Peão Todo Tatuado,Desconhecido,Desconhecido,Brazil,50,Média,Não hit,False,0.41,0.9,0.46,0.13,0.16,,,107.8,,,Equilibrada
6kaWah1Acn1dtNjAy6sm1p,Diário de um Cafajeste,Desconhecido,Desconhecido,Brazil,50,Média,Não hit,False,0.83,0.7,0.6,0.15,0.05,,,97.8,,,Dançante e energética
22bl3LPkCHQSBhCAdw8Jwk,Famoso Ímã | O poderoso chatão,Desconhecido,Desconhecido,Brazil,50,Média,Não hit,False,0.62,0.83,0.55,0.24,0.09,,,115.0,,,Equilibrada
7gx504HCEsTgxmyPNov5Lh,Cadeira Cativa - Ao Vivo,Desconhecido,Desconhecido,Brazil,50,Média,Não hit,False,0.49,0.68,0.37,0.02,0.04,,,101.7,,,Equilibrada
6n9JMoXkXu4lDOu1k6MRpy,Reliquia do 2T,Desconhecido,Desconhecido,Brazil,50,Média,Não hit,False,0.67,0.79,0.62,0.23,0.09,,,110.9,,,Equilibrada
4tYCyoSpv0Ujpfwcneb02l,Posso Até Não Te Dar Flores,Desconhecido,Desconhecido,Brazil,50,Média,Não hit,False,0.6,0.81,0.38,0.32,0.04,,,123.7,,,Equilibrada
3LZcSnTOCRalXwMXvkZnLZ,Saudade Estranha - Du Nada - Ao Vivo,Desconhecido,Desconhecido,Brazil,50,Média,Não hit,False,0.48,0.85,0.44,0.31,0.08,,,125.8,,,Equilibrada
1CqUGmt2Cyn2vvvAyQKJZQ,Não Mexe nas Minhas Gavetas - Ao Vivo,Desconhecido,Desconhecido,Brazil,50,Média,Não hit,False,0.88,0.91,0.39,0.14,0.05,,,128.1,,,Dançante e energética
2Hw0LzrD6ic8AckKBxJhiO,Deixa Eu - Ao Vivo,Desconhecido,Desconhecido,Brazil,50,Média,Não hit,False,0.74,0.91,0.47,0.08,0.04,,,110.4,,,Dançante e energética
4V2rUOmaevK0C1bKAkeFf5,Eu Te Seguro - Ao Vivo,Desconhecido,Desconhecido,Brazil,50,Média,Não hit,False,0.88,0.76,0.79,0.21,0.15,,,111.1,,,Dançante e energética
