track_id,danceability,energy,valence,acousticness,speechiness,instrumentalness,liveness,tempo,duration_ms,duration_min,music_profile
07nH4ifBxUB4lZcsf44Brn,0.79,0.8,0.7,0.22,0.11,,,139.5,,,Dançante e energética
0OTO8ZF2YqFQVw9hnZylTd,0.59,0.74,0.68,0.18,0.14,,,122.7,,,Equilibrada
5fdNHVZHbWB1AaXk4RBGVD,0.79,0.79,0.44,0.31,0.08,,,141.5,,,Dançante e energética
4SpqtLElDsO6KGbd4ub96Z,0.42,0.7,0.8,0.19,0.12,,,94.7,,,Positiva
6Rqn2GFlmvmV4w9Ala0I1e,0.61,0.84,0.78,0.14,0.05,,,134.1,,,Positiva
4nwjvcUjV7cexhwA40Bh5i,0.6,0.78,0.32,0.13,0.04,,,110.5,,,Equilibrada
0eVnhQNFTRZXOIhHZNLX85,0.53,0.95,0.52,0.13,0.07,,,117.2,,,Equilibrada
08PdFBcXzpkn1cWNgmKqhn,0.43,0.63,0.43,0.39,0.13,,,137.4,,,Equilibrada
0UqHzMvRQnaOXEPKgFVhxN,0.45,0.57,0.67,0.39,0.03,,,139.9,,,Equilibrada
4KGGeE7RJsgLNZmnxGFlOj,0.43,0.84,0.34,0.11,0.06,,,100.7,,,Equilibrada
209ucYTS6vWEV5iydrHiOt,0.45,0.73,0.3,0.32,0.05,,,95.9,,,Equilibrada
4UQDZlZhGUDoYMohwrY28v,0.61,0.6,0.76,0.01,0.06,,,128.4,,,Positiva
1wrA9K1P177mkPNt9BB2OZ,0.41,0.9,0.46,0.13,0.16,,,107.8,,,Equilibrada
6kaWah1Acn1dtNjAy6sm1p,0.83,0.7,0.6,0.15,0.05,,,97.8,,,Dançante e energética
22bl3LPkCHQSBhCAdw8Jwk,0.62,0.83,0.55,0.24,0.09,,,115.0,,,Equilibrada
7gx504HCEsTgxmyPNov5Lh,0.49,0.68,0.37,0.02,0.04,,,101.7,,,Equilibrada
6n9JMoXkXu4lDOu1k6MRpy,0.67,0.79,0.62,0.23,0.09,,,110.9,,,Equilibrada
4tYCyoSpv0Ujpfwcneb02l,0.6,0.81,0.38,0.32,0.04,,,123.7,,,Equilibrada
3LZcSnTOCRalXwMXvkZnLZ,0.48,0.85,0.44,0.31,0.08,,,125.8,,,Equilibrada
1CqUGmt2Cyn2vvvAyQKJZQ,0.88,0.91,0.39,0.14,0.05,,,128.1,,,Dançante e energética
2Hw0LzrD6ic8AckKBxJhiO,0.74,0.91,0.47,0.08,0.04,,,110.4,,,Dançante e energética
4V2rUOmaevK0C1bKAkeFf5,0.88,0.76,0.79,0.21,0.15,,,111.1,,,Dançante e energética
